Date,Subways: Total Estimated Ridership,Subways: % of Comparable Pre-Pandemic Day,Buses: Total Estimated Ridership,Buses: % of Comparable Pre-Pandemic Day,LIRR: Total Estimated Ridership,LIRR: % of Comparable Pre-Pandemic Day,Metro-North: Total Estimated Ridership,Metro-North: % of Comparable Pre-Pandemic Day,Access-A-Ride: Total Scheduled Trips,Access-A-Ride: % of Comparable Pre-Pandemic Day,Bridges and Tunnels: Total Traffic,Bridges and Tunnels: % of Comparable Pre-Pandemic Day,Staten Island Railway: Total Estimated Ridership,Staten Island Railway: % of Comparable Pre-Pandemic Day
08/09/2020,662993,0.28,11534,0.01,37616,0.36,20503,0.2,8287,0.46,744618,0.81,649,0.18
08/10/2020,1275268,0.25,34883,0.02,73548,0.24,33501,0.12,18178,0.65,826001,0.85,2995,0.22
08/11/2020,1319814,0.26,36426,0.02,72436,0.23,33509,0.12,18546,0.66,821976,0.85,3164,0.24
08/12/2020,1298963,0.25,36053,0.02,68345,0.22,33736,0.12,19346,0.69,800865,0.82,3124,0.23
08/13/2020,1291277,0.25,34723,0.02,69223,0.22,33823,0.12,18608,0.67,819019,0.84,2971,0.22
08/14/2020,1355786,0.26,32713,0.02,72916,0.23,39342,0.14,18113,0.65,893657,0.92,3012,0.23
08/15/2020,860789,0.29,15522,0.01,46806,0.35,27678,0.18,11487,0.69,804346,0.84,974,0.21
08/16/2020,554451,0.23,8603,0.01,29858,0.29,18165,0.17,7902,0.44,620686,0.67,529,0.15
08/17/2020,1304485,0.25,34768,0.02,74453,0.24,35362,0.13,17377,0.62,806108,0.83,3058,0.23
08/18/2020,1369617,0.27,36646,0.02,74213,0.24,34361,0.13,19274,0.69,838008,0.86,2951,0.22
08/19/2020,1292148,0.25,34181,0.02,70104,0.22,34377,0.13,19915,0.71,816805,0.84,2783,0.21
08/20/2020,1410489,0.27,35059,0.02,75643,0.24,37078,0.14,19344,0.69,889782,0.92,2960,0.22
08/21/2020,1387463,0.27,31342,0.02,76062,0.24,41110,0.15,19035,0.68,909773,0.94,2769,0.21
08/22/2020,882522,0.3,13705,0.01,49095,0.37,27785,0.18,11456,0.69,812308,0.85,871,0.18
08/23/2020,671560,0.28,9698,0.01,37891,0.36,22497,0.22,8297,0.46,737097,0.8,633,0.18
08/24/2020,1307345,0.25,34021,0.02,75145,0.24,35904,0.13,17643,0.63,815665,0.84,2756,0.21
08/25/2020,1346490,0.26,34993,0.02,73331,0.23,35689,0.13,18682,0.67,821597,0.85,2845,0.21
08/26/2020,1407639,0.27,35975,0.02,76583,0.24,36621,0.13,20659,0.74,859625,0.88,3012,0.23
08/27/2020,1358272,0.26,33969,0.02,73060,0.23,35551,0.13,19271,0.69,847285,0.87,2856,0.21
08/28/2020,1388583,0.27,31956,0.02,76114,0.24,41222,0.15,18845,0.67,899892,0.93,2716,0.2
08/29/2020,773667,0.26,14035,0.01,37641,0.28,22235,0.15,9814,0.59,645956,0.67,798,0.17
08/30/2020,748061,0.31,16027,0.01,45147,0.43,26521,0.26,9752,0.54,805096,0.87,825,0.23
08/31/2020,1397264,0.27,787291,0.39,78122,0.25,37727,0.14,18185,0.65,817544,0.84,3184,0.24
09/01/2020,1469274,0.25,947758,0.41,76483,0.23,36035,0.12,18929,0.64,809685,0.85,3217,0.19
09/02/2020,1487969,0.26,972213,0.42,77585,0.24,36160,0.13,19990,0.67,810144,0.85,3192,0.19
09/03/2020,1529185,0.26,1022623,0.44,82554,0.25,39920,0.14,19992,0.67,869126,0.91,3327,0.19
09/04/2020,1568385,0.27,1030811,0.44,88345,0.27,47153,0.16,20223,0.68,936602,0.98,3148,0.18
09/05/2020,1013725,0.31,715922,0.51,50550,0.43,34622,0.23,12118,0.71,798823,0.84,21,0.01
09/06/2020,819409,0.32,559273,0.51,44727,0.45,28566,0.27,10160,0.59,753036,0.85,191,0.07
09/07/2020,870964,0.34,615802,0.56,80050,0.81,27326,0.26,9261,0.31,697865,0.79,1210,0.41
09/08/2020,1555816,0.27,1039401,0.45,90603,0.28,42963,0.15,19806,0.67,833996,0.88,3496,0.2
09/09/2020,1610076,0.28,1072887,0.46,86063,0.26,41954,0.15,21801,0.73,825412,0.87,3586,0.21
09/10/2020,1543662,0.27,997030,0.43,82142,0.25,39296,0.14,20181,0.68,801431,0.84,3403,0.2
09/11/2020,1690334,0.29,1070920,0.46,88582,0.27,47781,0.17,20809,0.7,895766,0.94,3442,0.2
09/12/2020,1083698,0.34,752875,0.54,44546,0.38,32400,0.21,12349,0.72,800190,0.84,29,0.01
09/13/2020,796740,0.31,557231,0.51,36686,0.37,24009,0.23,9315,0.54,703809,0.8,4,0
09/14/2020,1604381,0.28,1065601,0.46,89498,0.27,41286,0.14,19888,0.67,799573,0.84,3515,0.21
09/15/2020,1678078,0.29,1091806,0.47,87025,0.27,41288,0.14,20763,0.7,815700,0.86,3696,0.22
09/16/2020,1686909,0.29,1097389,0.47,87034,0.27,41417,0.14,22070,0.74,816708,0.86,3496,0.2
09/17/2020,1692368,0.29,1094592,0.47,86854,0.27,42339,0.15,21005,0.71,848024,0.89,3617,0.21
09/18/2020,1725443,0.3,1083295,0.47,90657,0.28,48213,0.17,20702,0.7,894931,0.94,3367,0.2
09/19/2020,1136947,0.35,752437,0.54,46777,0.4,34609,0.23,12246,0.71,802614,0.84,1001,0.24
09/20/2020,827605,0.33,558863,0.51,38973,0.39,26329,0.25,9269,0.54,705596,0.8,760,0.26
09/21/2020,1624139,0.28,1058256,0.46,89706,0.27,41901,0.15,19488,0.66,788505,0.83,3497,0.2
09/22/2020,1698504,0.29,1095678,0.47,87376,0.27,41389,0.14,21103,0.71,808351,0.85,3821,0.22
09/23/2020,1735333,0.3,1119904,0.48,88998,0.27,42506,0.15,22501,0.76,834469,0.88,3710,0.22
09/24/2020,1722364,0.3,1107707,0.48,89129,0.27,42969,0.15,21554,0.73,857578,0.9,3816,0.22
09/25/2020,1761591,0.31,1110956,0.48,92506,0.28,49819,0.17,21233,0.72,912599,0.96,3708,0.22
09/26/2020,1120143,0.35,755197,0.54,47169,0.4,35772,0.23,12128,0.71,824515,0.86,32,0.01
09/27/2020,846179,0.33,576684,0.52,39994,0.4,28481,0.27,9491,0.55,731091,0.83,5,0
09/28/2020,1489240,0.26,985185,0.42,89664,0.27,43237,0.15,17678,0.6,753159,0.79,3371,0.2
09/29/2020,1661264,0.29,1057135,0.46,88444,0.27,40515,0.14,20517,0.69,790861,0.83,3632,0.21
09/30/2020,1740820,0.3,1101663,0.47,89223,0.27,41967,0.15,21424,0.72,822682,0.86,3704,0.22
10/01/2020,1809958,0.31,1159859,0.51,86082,0.27,42390,0.15,22309,0.75,870606,0.94,4003,0.22
10/02/2020,1790612,0.31,1115793,0.49,87291,0.28,48883,0.17,21626,0.73,891268,0.96,3589,0.2
10/03/2020,1168040,0.35,777674,0.56,45018,0.4,36907,0.24,12759,0.72,810626,0.86,33,0.01
10/04/2020,852830,0.35,570608,0.57,34976,0.38,27667,0.26,10010,0.54,706562,0.84,761,0.2
10/05/2020,1678792,0.29,1102675,0.49,88694,0.28,42258,0.15,19971,0.67,783540,0.84,3587,0.2
10/06/2020,1758454,0.31,1137217,0.5,87748,0.28,43803,0.15,21475,0.72,802900,0.87,3866,0.22
10/07/2020,1770617,0.31,1123231,0.5,87119,0.28,43535,0.15,23027,0.77,814866,0.88,3791,0.21
10/08/2020,1798005,0.31,1126770,0.5,87959,0.28,44802,0.15,21964,0.74,845788,0.91,3913,0.22
